function,nb_points,nb_neighbors,feature_set,nb_calls,total_time,total_time_per_call,cum_tume,cum_time_per_call
extract.py:14(<module>),50000,50,alphabeta,1,2.9999999999999997e-05,2.9999999999999997e-05,0.845266,0.845266
extract.py:33(build_neighborhood),50000,50,alphabeta,50000,0.166707,3.33414e-06,9.626192,0.00019252384
__init__.py:4(<module>),50000,50,alphabeta,1,1e-06,1e-06,1e-06,1e-06
io.py:14(xyz),50000,50,alphabeta,1,0.001942,0.001942,25.004761,25.004761
io.py:82(write_features),50000,50,alphabeta,1,0.116477,0.116477,28.837484,28.837484
io.py:5(<module>),50000,50,alphabeta,1,1.3e-05,1.3e-05,0.01282,0.01282
features.py:54(normalized_eigenvalues),1000,100,alphabeta,1000,0.006117,6.117e-06,0.012962999999999999,1.2963e-05
features.py:72(triangle_variance_space),1000,100,alphabeta,1000,0.0059819999999999995,5.982e-06,0.018945,1.8945e-05
features.py:6(<module>),1000,100,alphabeta,1,9e-06,9e-06,0.29780799999999996,0.29780799999999996
extract.py:81(alphabeta_features),1000,100,alphabeta,1001,0.033401,3.336763236763237e-05,0.612698,0.000612085914085914
extract.py:14(<module>),1000,100,alphabeta,1,2.4999999999999998e-05,2.4999999999999998e-05,0.878116,0.878116
extract.py:33(build_neighborhood),1000,100,alphabeta,1000,0.004278,4.2779999999999995e-06,0.17815699999999998,0.000178157
__init__.py:4(<module>),1000,100,alphabeta,1,0.0,0.0,0.0,0.0
io.py:14(xyz),1000,100,alphabeta,1,0.00209,0.00209,29.185627999999998,29.185627999999998
io.py:82(write_features),1000,100,alphabeta,1,0.003044,0.003044,0.647268,0.647268
io.py:5(<module>),1000,100,alphabeta,1,1.1e-05,1.1e-05,0.013368,0.013368
features.py:54(normalized_eigenvalues),10000,50,alphabeta,10000,0.048304,4.8304e-06,0.10066499999999999,1.00665e-05
features.py:72(triangle_variance_space),10000,50,alphabeta,10000,0.048602,4.8602e-06,0.14926699999999998,1.4926699999999999e-05
features.py:6(<module>),10000,50,alphabeta,1,8e-06,8e-06,0.284628,0.284628
extract.py:81(alphabeta_features),10000,50,alphabeta,10001,0.244973,2.4494850514948505e-05,4.863187,0.0004862700729927007
extract.py:14(<module>),10000,50,alphabeta,1,2.6e-05,2.6e-05,0.874678,0.874678
extract.py:33(build_neighborhood),10000,50,alphabeta,10000,0.031599999999999996,3.16e-06,1.505561,0.0001505561
__init__.py:4(<module>),10000,50,alphabeta,1,1e-06,1e-06,1e-06,1e-06
io.py:14(xyz),10000,50,alphabeta,1,0.001687,0.001687,25.286409,25.286409
io.py:82(write_features),10000,50,alphabeta,1,0.021573,0.021573,5.119649,5.119649
io.py:5(<module>),10000,50,alphabeta,1,8e-06,8e-06,0.013406999999999999,0.013406999999999999
features.py:54(normalized_eigenvalues),1000,50,alphabeta,1000,0.005974999999999999,5.9749999999999995e-06,0.012633,1.2633000000000001e-05
features.py:72(triangle_variance_space),1000,50,alphabeta,1000,0.005947,5.947e-06,0.01858,1.8579999999999998e-05
features.py:6(<module>),1000,50,alphabeta,1,6e-06,6e-06,0.388745,0.388745
extract.py:81(alphabeta_features),1000,50,alphabeta,1001,0.028758,2.8729270729270727e-05,0.569643,0.0005690739260739261
extract.py:14(<module>),1000,50,alphabeta,1,2.2e-05,2.2e-05,1.059531,1.059531
extract.py:33(build_neighborhood),1000,50,alphabeta,1000,0.004208,4.208e-06,0.159309,0.000159309
__init__.py:4(<module>),1000,50,alphabeta,1,1e-06,1e-06,1e-06,1e-06
io.py:14(xyz),1000,50,alphabeta,1,0.002105,0.002105,24.743240999999998,24.743240999999998
io.py:82(write_features),1000,50,alphabeta,1,0.002773,0.002773,0.601765,0.601765
io.py:5(<module>),1000,50,alphabeta,1,9.999999999999999e-06,9.999999999999999e-06,0.013888,0.013888
